id,sentence,label
10469,for apps that synchronize or connect to networks sporadically it would be handy to have an easy way to detect if you are on a cheap connection so if wifi is connected or the device is connected to the web via usb,1
10474,so suggestion is to add properties like iswificonnected and iscableconnected to devicenetworkinformation that execute fast,1
10492,give developers good explanation what they do wrong and enforce good design,1
10494,apps should take no longer than seconds to start and need to explain why they would take longer,1
10540,please provide apis for call forwarding and other call management functionsholdunholdswapconferenceetc,1
10541,as a user i would like to be able to select songs that i have put on the device from my library to wake up to,1
10573,thus this idea is actually for the developers to make scrolling faster after each subsequent scroll like every scrolls the scrolling speed will increase,0
10583,in addition the user should be able to take a scree shot within the multitasking area by using a finger gesture to drag the app towarda the bottom of the screen a screen capture icon should appear and the outer edges of the icon should fill with green and onve the edges are completly green a photograph noise will occur allow with a sudden screen flare to tell the user the screen shot has been taken and saved in the saved images folder,1
10600,we need the ability for developers to add relevant tags to their app descriptions we then need the ability to search for apps with those tags tags should also be verified during app submission to ensure theyre relevant,1
10633,it will be pleasant to go the main page of the app in the marketplace to see the general prsentation screenshots the other users reviews,1
10636,allow user to send video audio and more pictures in an mms now only one pic is supported,1
10649,allow access to raw data such as signal strength imformation to allow creation of indoor location positioning using available wifi bluetooth or cellular networks when no gps data is available,1
10655,since windows phones are selling hot in countries like india browser should start displaying indian language characters,1
10677,and a smart dialer can then be a full alternative to the builtin phone app since the app also can have a quickbutton for goto the regular phone app whenever the user wants to do that,1
10678,as an alternative to giving writeaccess to calendar which can be hard to get a go on for security reasons let us at least open an appointment directly in the calendar app,1
2861,signal strength directly impacts video playback experience,0
2864,but reusing the operating system component saves us development effort and ensures it looks as expected as the operating system evolves,0
2874,you can ask for a request but its not clear what and when something will happen,0
2894,with windows you have the ui app and the service app hosted locally may be the iis express used during local debug can be used,1
2897,this new approach of developing applicaitons simlifies the ui development where developer get rid of learning other technologies like java scriptangularjquerystyle sheets and all those n number of scripts,0
2903,typical problem here would be deploymentinstallationupdate of the ui application to client machine but if we simplify this process of deployment like having the rules that the ui app should be only one obfuscated executable file it should not depend on reference more,1
2909,bonus points for it to be xaml standard compliant,1
2913,in addition this will allow a greater prominence of xaml standard and greater acceptance in the market and in the media,0
2927,dont require developers to use the background task builder and background triggers just to activate an app in the background,1
2930,a control that offers hour minute second selection would be helpful,1
2931,add to collectionviewsource function pointer to get the group objects not just propertypath,1
2935,a datepickerflyout whose date is twoway bound will update targettosource but not sourcetotarget,0
2940,when functions and fallbackvalue is used in an xbind at same time the parameter must match exactly,0
2955,playback seamlessly between one media and another,0
2977,a control for visualizing and editing networks graphs and flowcharts,0
2996,leave them alone,0
3000,does not make sense that an idle task would be suspended for not being busy enough,0
3001,making the task more busy to work around idle tasks being suspended would mean more battery usage kind of the opposite of what you want,1
3011,microsoft wants us to build more connected app with project rome api,0
3019,in we can extend brush by xamlcompositionbrushbase,1
3029,it also annoys during development because now my solution has to have target platforms while it could just have one,0
3034,what i want is to drag and drop a file then be able to get its full path and file name as stored on the disk and access it using standard c io file access functions such as fopen fread etc,1
3035,i dont want to use xaml because it looks complicated it looks like it can reduce performance i am making d heavy directx based applications that need full performance,0
3045,for example i drag and drop a bmp image my app compresses it and saves as png image automatically in the same folder with the same name,0
3057,dual screen google card glass fulfill the function and make the application very attractive,0
3064,we wanna to commuicate other app in desktop,0
3065,not only other uwp but wpf application,0
3073,ive done the same tests in uwp mode using dxgiswapeffectflipdiscard and results were the same slow as in winwinapi,0
3082,from what i see astc would be great for that have good quality but also small size looks like it has lot of format options so i could choose what i want,1
3102,im pretty sure the new treeview is not fall creators update dependent,0
3115,map became unusable after phone update,0
3118,resolvecompleted event comes after ten seconds,0
3123,d lines on traffic layer are blurred jagged and looking bad,0
3127,while nice looking uwp ui is not well suited for creating uiheavy classic applications think visualstudioautocadblenderlobs with a lot of data that you would never want to use on tabletphone,0
3135,if our isv uwp app also have this feature we can spent more time to trying the new feature and insider customer and testers can use it and we could got feedbacks,1
3153,because if you currently assign a binding a visualstate setter as below it will resolve the value of the binding and assign that to the target while you would like to assign the binding itself,0
3154,this will allow designs and implementations to change bindings depending on states and even help some states where some bindings are not required to be temporarily set to xnull for performance handy in complex screens,0
3167,we can see the entries added in the registry but client cannot access the interfaces,0
3176,for example lets say i want to create shorthand for aligning a control inside relativepanel fully horizontal like alignhorizontalwithpanel,1
3183,allows desktop apps to incrementally adopt ui innovations and creates a bridge to uwp for app ui,0
3184,i tried the converted app using ime,0
3188,we want to improve support google ime,1
3194,i thinks its not difficult to do since cortana for computer supports up to languages as listed on,0
3240,you can verify this with the camerastreamcorrelation sample,0
3243,the following streams are available on the pc,0
3248,the following streams are available on the xbox,0
3253,are there any plans to support skeleton tracking on the xbox,0
3256,it seems such a shame that the new kinect drivers expose the kinect via this api and yet the exposurecontrol is marked as being not supported for the kinect,0
3257,from the libfreenect library it seems entirely possible to tell the kinect not to do autoexposure,0
3261,i expect that the content set directly the text to persist after closing the application,0
3264,to me something that may cause a runtime crash and that the compiler clearly knows to flag should not a warning but an error,1
3270,xbox dev mode companion work ipv please,0
3271,make it really smooth to update code of a uwp app like you are already doing with the xaml part the app is automatically reloaded without being shut down and relaunched,1
3284,a xaml designer for visual studio in windows,0
3304,the control would allow for the use of the contact picker but allows for manual entry and deletion of contacts,0
3309,to give the user a sense of consistency the file picker remembers the last location that the user navigated to and will generally start at that location,0
3311,this is not always the best solution for example pretend you had a uwp app that asked the user to select a picture and a music file,0
3336,i am migrating my app from windows desktop using core audio api to uwp using hopefully audiograph,0
3348,we are exploring moving forward with uwp but currently there is no way to access the pipeline to add custom shaders and models like we do now in virtual earth with microsoftmappointgraphicsdgraphicsengined and microsoftmappointrenderingdscenestep,0
3357,im developing a java application so interop with c is kinda tricky while interop shell api or c libraries is pretty easy and straightforward with jna,0
3386,it is very difficult to create a custom richeditbox with all the basic features like text formatting bullets and numbering support for inking like onenote and also to support adaptive layout thats too much work for basic text editing,0
3390,im creating app using face detection,0
3394,if we put the mkv in another service or server the video is reproduced but the connection with onedrive has been lost,0
3417,it stops on the way,0
3430,chinese and italian support have already been asked for,0
3434,in some cases an access error may occur at the time of opening a file or it may be opened correctly,0
3435,we want a solution,0
3527,something seems to have changed with loggingchannel possibly default manifest code that handles the string message has changed around,0
3528,fwiw preview versions of windows post anniversary update were showing the message correctly,0
3530,id like to have implicit datatemplates in uwp,1
3535,currently i can only input plain text in toast notification input since the type does not support password,0
3574,developers need to have good and deep understanding of how ui virtualization works on uwp app,1
3600,currently you can use the pivot or there are rdparty vendors providing a tabcontrol,0
3686,im converting some wpf apps to uwp and i am missing a report control,0
3697,please open up the base classes for inheritance and provide a sample how to create a custom virtualizing panel,1
3706,without this uwp is more or less a toy because any customization requires that the app be deployed completely separately,0
3718,this is only relevant for desktop uwp apps,0
3722,you can at least provide any of these solutions,0
3748,id use this for my media phone playing groove,0
3766,the panorama control is still the best control for my app and my users love it,0
3767,updating the app to uwp is not possible without this control,0
3785,currently there is no way to prevent menuflyout from closing when user click any of its items,0
3786,im not even sure if it is not a bug because setting argscancel in closing event is not working,0
3791,support io transactions on uwp platform as part of windows runtime api for file io,1
3796,for example three quick touch strokes to scroll immediately to the top or bottom,0
3797,really long lists and views are boring to scroll even at maximum scroll speed,0
3798,keyboard have homeend keys to scroll to topbottom but touch screen doesnt have same capability,0
3816,but this library is fairly lowlevel,0
3841,that concept is painfully evident when using microsofts edge browser and you want to browse various favorites menus,0
3844,specifically excellent mouse support means that menus will support all the hover actions that menus currently enjoy in win applications,0
3846,the current situation requires two mouse clicks to accomplish the same thing as a simple hover should,0
3857,i dont know what the component should look like,0
3861,it can happen that sometimes we do need a control to store a list of pageselements that looks like a pivot control but with a infinite list of pageselements,0
3873,so i tried to find other ways such as excel access or sql server compact edition,0
3891,so application would request secret api keys as needed from systemprovided secure storage,0
3893,release appx shouldnt have secret keys inside and keys should be on windows store server and those keys would be requested from server on application install,1
3918,another advantage is the developer already have a preview in design mode,0
3929,the idea would be to have a try button on every sample,1
3930,this button will generate a ready to use visual studio project with the current sample,0
3931,it seems that animated gifs disappear when application minimizes restores,0
3956,allow the user to select items drag them around and resize them,1
3964,we currently have a store app that works with our desktop app and it causes a great deal of confusion,0
3971,if you need anything from me for any reason i will do what ever i need to do to improve our software for our users,0
3979,as developer i want to create custom picker like date or time pickers,0
3991,you cant scroll at that point,0
4014,in an xaml page there are some buttons and command bar buttons both of which have access keys set,0
4046,i am working on porting an app that could calculate md checksums on a file,0
4081,being an enterprise developer the advent of big data i believe the seadragon pivotviewer lastest binaries should be ported over to wpfuwp apps as it is a well needed tool,1
4085,since we are preparing a custom control with the scrollviewer the look and feel is not nice,0
4089,microsoft is loosing a huge market by not supporting a full net standard,0
4097,evidently the mediacompositionsaveasync api internally uses the storageapplicationpermissionsfutureaccesslists api which has a limitation of items,0
4098,if you add more than clips created via mediaclipcreatefromimagefileasync the api will fail with this exception,0
4100,an item must be removed before another item is added,1
4101,additional information the maximum number of items for the access list has been reached,0
4110,in case app is installed in sd card and notification uses custom audio file default notification sound is played instead of custom audio file,0
4117,in the end developers have to use some workarounds to simulate old behavior,0
4118,you can see that even apps list in wm simulates old behavior instead of default one,0
4133,when using fm radio i have my headphones plugged in,0
4140,this would make replying to messages etc,0
4169,i know its not possible at the moment specially with all the hardware limitations but if you guys really are working on a surface phone bringing visual studio to it will be so huge,0
4177,the problem is the output port names are enumerated by the uwp api as just midi and not the name of the port as defined when they were setup,0
4178,reaper and other desktop programs are displaying the proper name,0
4192,including windowsh shouldnt generate compile warnings even the extra ones,0
4222,that would make all the users happy,0
4224,hololens lets you render on backbuffersstereoscopic but its hard to know if the output is correct because the emulator shows just one frame,0
4228,there is a bug in uwp where special characters are interpreted as letters when using multi layered keyboard layout like the german neo layout,0
4232,its also a total annoyance when working with data that require handling of lots of special charecters like json and xml data,0
4249,looking forward to the progress youre doing d,0
4250,with project rome i can discover devices of others connect with them and launch apps or leverage app services once consent has been established,0
4256,this feature is implemented in the accessory api which is restricted to only smart watch makers,0
4261,this would allow them to know that additional awesome features are there,0
4265,the windows display language of my computer is set to enus because i am an app developer and most app problems and solutions are written in english,0
4271,such functionality is common to music apps in google play store apple store blackberry world,0
4272,in most cases such apps can be ported to uwp platform and because they are coming from a posixlinux the network api is bsd sockets as well as some complex network communication libraries can be used to support this or that networkoriented functionality,1
4273,currently the network data flow is boroken once app goes into background or screen is switched off,0
4287,can inapp purchases made available to windows store for business,1
4293,these channels are not accessible with the current audiograph apis,0
4317,it has support for linux and i think windows should gain support too,1
4329,and the dac folder is empty,0
4353,hello dev team,0
4366,in the app settings you can disabled the swipeopen or make the swipein detection area wider if the users phone makes getting close to the screen edge difficult,1
4382,so there should be a way to either swap out style xaml rsourcedictionary files andor pieces of more,1
4388,any feedback is appreciated thanks john,0
4402,xaml apps can detect it but there is no equivalent winrt api for js apps,0
4404,my html perfectly fine in windows but not in windows mobile,0
4428,as an information this is the xaml control that contain the complex attributeproperty,0
4442,in my opinion this feature is really fundamental much more important to me than many new features that appears regularly,0
4456,according to the documentation the proper way to handle input in a store app is to create a coreindependentinputsource from another thread by calling swapchainpanelcreatecoreindependentinputsource,0
4464,devices with touch input are the ones that suffer the most from this bug since they come with weak gpus,0
4465,devs have to chose either low responsiveness or low performance,0
4484,the application will exit,0
4501,having an api allowing getting the color of the pixels under a pointer eventually throttledasync and only when having pointer capture on would increase the expressiveness of the creation tools in uwp applications,0
4522,i am manually having to keep a list of these when it would be easily managed in the dashboard if the status properly reflected this,0
4526,the current status only seems to show in progress if the app has never been put in the store before,0
4537,meanwhile the perf counters are difficult to associate with a specific application requiring the request queue be named which httplistener does not do and netsh called to find url group ids to use for correlation,0
4545,i did a research on audioframeoutputnode it is strange that it often generate audioframe without any audio data the audioframes duration property is miliseconds but the relativetime property is not,0
4553,for example a user send us a feedback to ask a windows rt version of our app but now we are focused on windows so we need to be clear that we read his feedback but its not on our roadmap,0
4555,after that the age rating questionnaires stop submitting when you press submit,0
4572,an example of this an application as a node in an internal media network would be something along the lines of audiobus for ios,1
4575,extrapolate the above capabilities to audio allowing onthefly addremove interconnectablereroutable audio nodes virtual interface devices to which appsdevices would attach to instead of attaching only to hardware interfaces,1
4578,same for video not only making desktopwindow screen capture a breeze and naturally handle by the os it would also allow the creation of virtual screens resource permitting of course for desktop expansionmirroring outputting them to a video inputrecording apps usb or even to a dlna receiver screens,0
4582,this would allow the user through the os to detach an app media output from its default interface audiomidi card screenwindow and reattach it to another app or device input,0
4587,what if we will exchange apps reviews,0
4590,i like the ease of the app and recommend this app to all,0
4593,i have largely ignored this is the past because it was minimal but someone is finding good success with it so theyre hammering everyone,0
4594,personally i am getting a day from different source email addresses,0
4595,removing the support email from the webpage would not hinder the user as they can see it via the windows store app,1
4605,a user is at lunch viewing their sensitive documents,0
4606,they switch to their email app our application detects active state change and auto logs out,0
4607,they finish their food and leave but forget their phone on the table,0
4608,at this point a perpetrator is able to take the phone open the recent apps section and now can see whatever our client was looking at,0
4609,user is at their desktop observing files gets up and makes the app inactive minimizes or moves to back,0
4610,we begin a timer to auto log out,0
4611,a perpetrator is able to hover over the taskbar item and see the last screen drawn whether or not the user logged out,0
4620,sorry if i sound bitter but i must say its very frustrating developing for w mobile at the moment even if the you get good reviews the chance of them being displayed in the store is very slim due to the version fragmentation,0
4621,as i understand it insider reviews that arent on the slow ring are removed even worse theyre deleted permanently from even the developer dashboard,0
4622,people took time to write thoughtful reviews and theyre simply deleted,0
4623,ive started to continually download review reports to just have a record of them,0
4624,ive had over fifty star reviews simply disappear never to be seen again,0
4625,i see the point that insiders shouldnt bring down the ratings of the app if the os is to blame but with so few people rating anyway and most people being on the fast insider ring it makes it extremely hard to get reviews,0
4626,old windows phone retain their status of being the most highly rated just because of this,0
4627,whats the point of having a rule if that means theres too few reviews and no point for most people to post reviews at all,0
4628,im not quite sure what a good solution is you cold allow only reviews for fast insiders but i guess that might skew reviews too positively,0
4629,or why not let the text review stand even if the rating doesnt count,1
4631,as it is getting an accurately impressions of apps through reviews doesnt seem feasible,0
4651,the caller does not have the required permission to perform this operation,0
4668,iot introduced the windowssystemprocesslauncher for starting arbitrary programs like processstart in net,0
4674,note when executed dns client service crashes,0
4676,comment out the textattributes line and note service does not crash,0
4679,i have bound the ispaneopen of my splitview to a property in my viewmodel,0
4680,this works nicely except when the splitview is in overlay mode and the user presses a hardware back button on the phone,0
4681,in this case the splitviewpane gets closed as expected but it does that by seemingly overwriting the binding on ispaneopen and instead setting it directly to the value false,0
4682,the effect is that the panel can never be opened again as my code will do this by setting the vm property to true but the binding was already lost,0
4685,in practical terms you are forced to make a ui technology diversion to implement new functionality,0
4686,xaml doesnt look a tempting option because not useful for mobile or web and needed controls usually implemented in javascript first,0
4687,at a application architectural level porting winforms to htmljs favours an entirely new application which follows an understoodaccepted architectural pattern then reimplement old functionality,0
4689,so imagine the app in question was one written by an exemployee in in vbnet with deep domainknowledge targeting users with similar domain knowledge for a specialist task with no design documentation beyond a description of a manual process it replaced,0
4690,well this is the norm and for all its wrongs its there,0
4691,never had budget assigned in the first place and its used by people who are all busy,0
4693,given the architectural barrier is the killler i dont believe there is any feature of gdi which cannot be expressed in html,0
4694,the ui may not adhere to good gui design principals its performance may suck but it probably wont,0
4695,but its users can start it and it will look and act the same as it did before arcane controls and all,0
4696,the architecture of a modern html appliication has much more in common with gdi and a windows message loop than it does with xaml,0
4697,things like redux essentially go out of their way to be like a message loop to avoid race conditions through async operations,0
4698,for microsoft this would i believe solve a massive developer stumbling block even allowing winforms controls to potentially be integrated in html uis,0
4705,so imagine the app in question was one written by an more,0
4706,microsoft finally developed a library able to handle nfc devices,0
4707,unfortunately the library is only able to get the ndef messages and doesnt give the uid of the card,0
4708,is there a reason why this uid is not saved in the proximitydevice once the nfc card is read,0
4711,but it has no similar property on uwps api,0
4713,you reproduce this on mobile build system,0
4714,currently there is no way to attach debugger to already running process via attach to process on mobile,0
4715,and sometimes bad bugs like deadlocks happens,0
4716,and its real pain to investigate them since usually they happen without debugger and on release builds,0
4717,windows mobile is like back box you cant get full access to,0
4722,frankly speaking i am surprised that it was not there from the very beginning,0
4743,all that happens without any real user attendance which makes those triggers useless,0
4744,in wm there was an unattended power state for that situation and there was a way to detect real user interaction with the device,0
4746,current behavior of systemtriggeruseraway and userpresent is unexpected,0
4748,phone is sleeping with screen turned off,0
4750,some event occurs sms incoming call toast,0
4754,usernotificationchangedtrigger fired,0
4756,userpresent trigger fired,0
4758,after some short timeout screen goes off,0
4764,this is my personal favourite mobile file open picker the app suspends but it cannot be debugged,0
4765,all sorts of surprises can happen with a complex app,0
4766,before uwp currentculture reflected the regional settings format and currentuiculture reflected the display language,0
4769,we shoulnt have to relly on workaround like this one,0
4772,it would be a lot like facebook messengers chat heads,0
4775,so many things could be done with it,0
4776,i found that phonetriggertype enum includes useful triggers except the trigger when a call is received,0
4786,torch api doesnt work in lumia with windows phone support such as lumia,0
4788,currently uwp have less readable grayscale font smoothing,0
4789,it makes uwp apps look worse than desktop apps on standard dpi screens,0
4791,sometimes compassgetdefault returns null and compass stop working in all apps,0
4792,to solve i need to restart the phone,0
4794,in the following msdn magazine article it is mentioned that there are some limits for voice command deffiniton files,0
4799,i use windows sapi quite intensively for an application i have built and many grammars are easily much bigger than the limits imposed by cortana,0
4800,this makes it a bit tricky to port the recognition engine part of the application away from sapi and towards cortana since sapi provides more powerful capabilities for larger sets of commands,0
4810,unfortunately i am not going to know all uris the cookies are in without tracking every single domain visited which is what i currently have to do,0
4811,i do this so i can clear all cookies,0
4812,an api that would take minutes for someone to write up and save me a lot of coding is,0
4814,or secondary to that a deleteallcookies or clearcookies api as that is the only reason i need to get all of them and i cant think of any other use cases to retrieve all cookies,0
4815,happy to go either way,0
4825,user interaction depends on it,0
4826,searched up and down to get this done in windows no success,0
4827,similar has been accomplished in pre,0
4828,used win ce where ms granted more access to source code,0
4832,pedestrianfeaturesvisible can be toggle only if mapstyle is set on road,0
4834,currently when using a controlchanneltrigger with httpclient you cannot send a https request without the application getting terminated by the system,0
4836,i tested using https and to my surprise it does work with the debugger attached no exceptions get thrown so it is implemented,0
4837,however termination occurs when the application is not connected to the debugger,0
4840,audiograph created with custom desiredsamplesperquantum ignores it and uses default ms quantum,0
4843,depending on hardware you may hear gaps right after start or you may need load cpu with some additional work like scrolling ui or running some work in background threads,0
4844,i guess it is result of extremely short quantum size ms even switching between threads could take more time and too low buffer length quants but it could be just some synchronization issue,0
4846,slider renders to extreme right value instead of zero,0
4847,i have an app where i use a custom title bar by extending my view into the title bar area,0
4849,then i also use code like this to allow a custom element to support dragging of the window,0
4851,this all was implemented preanniversary update,0
4852,while all this works fine a bug was introduced in the anniversary update where the title bar returns zero for height systemoverlayrightinset and systemoverlayleftinset now,0
4854,i confirmed that in preanniversary update these properties would return values like for height and for systemoverlayrightinset,0
4873,the use of the file type filter makes no sense when you are picking a folder and its not menioned in the documentation,0
4875,suppose we have an app with two modes like zune normal and mini,0
4876,in the mini mode the app only presents the indispensable and small elements on the window,0
4879,i know maybe its not at the microsofts priority list but i believe we can somehow make it available,0
4882,but that would be nice,0
4883,we do like to build universal windows apps,0
4893,at the moment it is possible to install to the application install directory but the files there cannot be altered by the application,0
4894,if the application copies the files to the application data folder after installation as done in my work around it cannot delete the original files in the installation folder by this having two versions,0
4896,after the anniversary update the store shows default the ratings of current version,0
4897,this is very annoying for developers of good and populair apps,0
4898,a potential user viewing in the store will most likely make his judgement to download based on the number of reviews and quality of reviews especially since the windows store does not show the total number of downloads,0
4900,so for app publishers this will be a reason to keep app updates to an absolute minimum in order to get as many ratings as possible,0
4902,or at least last days,0
4911,i want to know it to make custom title bar that looks exactly as defult one except with my controls,0
4912,im able to get systemaccentbrush but i cant get actual window title bars color becouse it depends on this show accent color setting,0
4913,ive already asked the forum where you can find the detailed description on the issue,0
4917,if often misclassify the direction,0
4918,ps i didnt know where to post this but since the library is in windowsmediaocr namespace i put it under media,0
4919,using resources in a datatemplate worked just fine before,0
4920,now that ive upgraded to anniversary and installed the newest sdk and tools the newest visual studio update it doesnt work as expected at all,0
4930,this will crash on instantiation because somehow the viewmodel object is null when the bindings are updated which was definitely not the case in previous versions and surely not the expected behavior,0
4931,if i replace the xbind with a binding it will run but if using the datatemplate for multiple objects for example in a gridview the resource will have the same value for all instances which makes it really pointless,0
4946,some apps have such poor startup perf that ngen is must,0
4948,or since this is a store app will the standard background ngen work for wpf apps,0
4949,i do not like the recent change in the dev center,0
4950,first of all it shows cumulative acquisitions rather than for a specified amount of time making it hard to compare which apps people like more if an app has been available longer of course the cumulative acquisitions will be higher,0
4951,also being able to see only some of the apps at the same time is very frustrating,0
4954,currently it is part of a sample,0
4958,as simple as clickonce publishing,0
4959,i do not want to convert msis,0
4972,right now the new devcenter offers the ability to sort by apps by included markets baseprice and last modified,0
4975,i can see it when i go to definition on serialdevice,0
4977,in order to break my codes dependency on actual hardware so i could automate my tests i had to reinvent the wheel,0
4978,by keeping this interface internal i was forced to recreate the interface mostly and create a wrapper around serialdevice that implemented it,0
4979,thats a lot of code to write when the interface already exists,0
4981,after my application open office document programmatically in background link to it appears in quick access area in file explorer,0
4982,its not good thing because its not needed to share this with users,0
4993,enabling a custom provider in the realtime etw tracing page of windows device portal shows no details other than the timestamp for each event,0
4994,ive been using perfview and that works great and shows the event details payload keywords level etc,0
4996,i was just hoping to use the portal for realtime monitoring but it doesnt appear to be working correctly,0
10067,allow to developers create a custom keyboard,1
10414,if immediate approval is not possible then apps that have been published should be immediately available,1
5330,windows app store categories has tremendous potential to interact and requestthe conent consumers and content providers lack of interaction makes it less exciting,0
8448,now it work butthe the header of first group is not displayed,0
8858,if the phone doesnt have an accurate location simply return what it does have,0
9104,me and two friends of mine created an app that won in a windows hackathon held by microsoft cyprus,0
6773,so as far as i can tell the combination splitview pane pivot is the cause for this problem,0
7175,i submitted my word game to the apple app store,0
6714,please dont neglect this suggestioni am not saying to copy anyone,0
5840,this way the already paid for gg wifi network cable etc,0
7737,if before calling the method i remove the attendee it wont crash,0
7172,not just send a mail somewhere,0
5427,could you make an option in the sdk installer for just the tools,1
6177,currently this is not possible because when trying to add custom headers to the content using the below code,0
7930,please make it available also for us developers here in kenya,1
5445,there is what i consider a security issue in uwp applications that i feel should be addressed,0
6830,best regards leo,0
4998,not sure if this has any relevance,0
4999,i am working on location based apps,0
5000,i am using mapicon to show user current location,0
5001,now i want to allow the user to drag that mapicon but there is not an event to that,0
5005,when creating a login page i found that when placing the focus in the user name field the header and textbox added an additional box around the field to indicate focus,0
5006,however on the password box the field focus does not occur,0
5008,since webview lacks support for manipulation events it acts as a huge gesture eater which doesnt let its parent controls like scrollviewer flipview to take control of gesture like scroll swipe etc,0
5009,it becomes impossible to use a webview along with other xaml elements in the same view,0
5011,if selectionmode is none in a listview its really hard to know which item that is in focus,0
5013,also setting which item is in focus is hard as well,0
5015,if there are some better way please let me know,0
5016,the ways i found feels a bit clumsy,0
5023,i work around this by checking device family,0
5026,but the modern winrt network api which is based around streamsocket and the corresponding streamsocketcontrol do not provide an option to enable tcp timestamps support,0
5027,which is not futureproof,0
5028,yes i know if were c developers we can use the traditional winsock api setsockopt can do what we need but that will tied us to the old selfmanage threads model which is not pleasing,0
5030,rfc tells the story in much greater detail,0
5033,i have an app in the store to make a live tile clock,0
5035,i checked with multiple clock tile apps in the store and they all have this same fundamental issue,0
5036,blank or app logo on tile until tile notification refreshes,0
5038,something like what htc shipped with their windows phones,0
5039,in an effort to minimize overhead may the system settings could allow for only one selected clock app to be running,1
5047,right now creating an isolated environment fails for some installers,0
5051,i was able to run the converter on build and,0
5052,however on build i got this error,0
5059,weve got the clean uninstall but no applevel resets,0
5061,do people really launch their app and then get their file they wanted my strong experience is people find their file and then let the file type associations work for them,0
5063,the ftas are meant to be userchangeable,0
5064,currently i have to do a request to the server to check the certificates extract the public key and verify its ok,0
5065,currently i cannot access the handshake of the httpclient where the ssl pinning verification should be done,0
5067,was scratching my head wondering what was going on until i enabled verbose msbuild output,0
